id,name,asins,brand,categories
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets"
AVqVGZO3nnc1JgDc3jGK,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",B00VINDBJK,Amazon,"eBook Readers,Kindle E-readers,Computers & Tablets,E-Readers & Accessories,E-Readers"
AVpe9CMS1cnluZ0-aoC5,"Amazon Kindle Lighted Leather Cover,,,
Amazon Kindle Lighted Leather Cover,,,",B005PB2T0S,Amazon,"Electronics,eBook Readers & Accessories,Covers,Kindle Store,Amazon Device Accessories,Kindle E-Reader Accessories,Kindle (5th Generation) Accessories,Kindle (5th Generation) Covers"
AVpfBEWcilAPnD_xTGb7,"Kindle Keyboard,,,
Kindle Keyboard,,,",B002Y27P3M,Amazon,"Kindle Store,Amazon Devices,Electronics"
AVpfBEWcilAPnD_xTGb7,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",B002Y27P3M,Amazon,"Kindle Store,Amazon Devices,Electronics"
AVqkIiKWnnc1JgDc3khH,"Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers,",B01AHB9CYG,Amazon,"Tablets,Fire Tablets,Electronics,Computers,Computer Components,Hard Drives & Storage,Computers & Tablets,All Tablets"
AVqkIj9snnc1JgDc3khU,"Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,",B01AHB9C1E,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets"
AVsRjfwAU2_QcyX9PHqe,"All-New Kindle E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers,,",B01J2G4VBG,Amazon,"Amazon Devices & Accessories,Amazon Device Accessories,Power Adapters & Cables,Kindle Store,Kindle E-Reader Accessories,Kindle Paperwhite Accessories"
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle Fire Hd (3rd Generation) 8gb,,,
Amazon Kindle Fire Hd (3rd Generation) 8gb,,,",B00ZV9PXP2,Amazon,"Electronics,iPad & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,E-Readers & Accessories,E-Readers,Used:Computers Accessories,Used:Tablets,Computers,iPads Tablets,Kindle E-readers,Electronics Features"
AVqVGZNvQMlgsOJE6eUY,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B00ZV9PXP2,Amazon,"Electronics,iPad & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,E-Readers & Accessories,E-Readers,Used:Computers Accessories,Used:Tablets,Computers,iPads Tablets,Kindle E-readers,Electronics Features"
AVphgVaX1cnluZ0-DR74,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys"
AVphgVaX1cnluZ0-DR74,"Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,,,
Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys"
AVphgVaX1cnluZ0-DR74,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys"
AVphgVaX1cnluZ0-DR74,"Amazon Standing Protective Case for Fire HD 6 (4th Generation) - Black,,,
Amazon Standing Protective Case for Fire HD 6 (4th Generation) - Black,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys"
AVphgVaX1cnluZ0-DR74,"Certified Refurbished Amazon Fire TV (Previous Generation - 1st),,,
Certified Refurbished Amazon Fire TV (Previous Generation - 1st),,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys"
AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys"
